component,item_id,item_label,parameter,value,unit,phase,source,source_type,confidence,notes
archetype,alkaline_1gw,1 GW Alkaline Electrolyser Plant,capacity_mw,1000,MW,,,archetype_specification,,"Reference 1 GW alkaline electrolyser with associated balance-of-plant. Based on ~80% capacity factor, ~50 kWh/kg specific energy consumption. Caveats: Covers electrolyser plant staffing only. Ammonia synthesis, storage, transport, and dedicated RE generation workforce not included."
archetype,alkaline_1gw,1 GW Alkaline Electrolyser Plant,construction_years,3,years,,,archetype_specification,,"Reference 1 GW alkaline electrolyser with associated balance-of-plant. Based on ~80% capacity factor, ~50 kWh/kg specific energy consumption. Caveats: Covers electrolyser plant staffing only. Ammonia synthesis, storage, transport, and dedicated RE generation workforce not included."
archetype,alkaline_1gw,1 GW Alkaline Electrolyser Plant,h2_output_mt_per_year,0.14,MT H2/year,,,archetype_specification,,"Reference 1 GW alkaline electrolyser with associated balance-of-plant. Based on ~80% capacity factor, ~50 kWh/kg specific energy consumption. Caveats: Covers electrolyser plant staffing only. Ammonia synthesis, storage, transport, and dedicated RE generation workforce not included."
archetype,ammonia_1mtpa,1 MTPA Green Ammonia Synthesis Plant,construction_years,5,years,,,archetype_specification,,"Reference 1 million tonne per annum green ammonia synthesis plant (Haber-Bosch + ASU + H2 compression + cryogenic storage). Consumes ~0.18 MT H2/year as feedstock. Based on conventional Indian ammonia plant benchmarks scaled for green H2 input. Caveats: Does NOT include electrolyser or RE generation workforce � those are separate archetypes. Coefficients derived from conventional Indian ammonia plant benchmarks (IFFCO, NFL, RCF); no published green ammonia plant staffing data exists. India labor intensity multiplier (1.3-1.5x IRENA global) applied."
archetype,ammonia_1mtpa,1 MTPA Green Ammonia Synthesis Plant,h2_input_mt_per_unit,0.18,MT H2/unit/year,,,archetype_specification,,"Reference 1 million tonne per annum green ammonia synthesis plant (Haber-Bosch + ASU + H2 compression + cryogenic storage). Consumes ~0.18 MT H2/year as feedstock. Based on conventional Indian ammonia plant benchmarks scaled for green H2 input. Caveats: Does NOT include electrolyser or RE generation workforce � those are separate archetypes. Coefficients derived from conventional Indian ammonia plant benchmarks (IFFCO, NFL, RCF); no published green ammonia plant staffing data exists. India labor intensity multiplier (1.3-1.5x IRENA global) applied."
archetype,pem_500mw,500 MW PEM Electrolyser Plant,capacity_mw,500,MW,,,archetype_specification,,"Reference 500 MW PEM electrolyser with balance-of-plant. Based on ~80% capacity factor, ~45 kWh/kg specific energy consumption. PEM technology uses solid polymer membrane, requiring more electronics/precision assembly but less heavy welding than alkaline. Caveats: Covers electrolyser plant staffing only. Dedicated RE generation, ammonia synthesis, storage, and transport workforce not included. PEM-specific coefficients are directional estimates; no per-occupation published data exists for PEM specifically."
archetype,pem_500mw,500 MW PEM Electrolyser Plant,construction_years,3,years,,,archetype_specification,,"Reference 500 MW PEM electrolyser with balance-of-plant. Based on ~80% capacity factor, ~45 kWh/kg specific energy consumption. PEM technology uses solid polymer membrane, requiring more electronics/precision assembly but less heavy welding than alkaline. Caveats: Covers electrolyser plant staffing only. Dedicated RE generation, ammonia synthesis, storage, and transport workforce not included. PEM-specific coefficients are directional estimates; no per-occupation published data exists for PEM specifically."
archetype,pem_500mw,500 MW PEM Electrolyser Plant,h2_output_mt_per_year,0.075,MT H2/year,,,archetype_specification,,"Reference 500 MW PEM electrolyser with balance-of-plant. Based on ~80% capacity factor, ~45 kWh/kg specific energy consumption. PEM technology uses solid polymer membrane, requiring more electronics/precision assembly but less heavy welding than alkaline. Caveats: Covers electrolyser plant staffing only. Dedicated RE generation, ammonia synthesis, storage, and transport workforce not included. PEM-specific coefficients are directional estimates; no per-occupation published data exists for PEM specifically."
archetype,solar_wind_hybrid_2gw,2 GW Hybrid Solar+Wind Farm (Dedicated RE),capacity_mw,2200,MW,,,archetype_specification,,"Dedicated renewable energy farm (~1.5 GW solar PV + ~0.7 GW onshore wind) sized to serve one 1 GW electrolyser. Based on MNRE Green Hydrogen Standard additionality requirements. ~4.5 TWh/year at blended ~25% capacity factor. Caveats: RE coefficients are the highest-confidence numbers in this dataset (IRENA/CEEW India-specific, multi-year data). This archetype covers the LARGEST construction-phase headcount driver. Does not include battery storage or grid interconnection workforce."
archetype,solar_wind_hybrid_2gw,2 GW Hybrid Solar+Wind Farm (Dedicated RE),construction_years,2,years,,,archetype_specification,,"Dedicated renewable energy farm (~1.5 GW solar PV + ~0.7 GW onshore wind) sized to serve one 1 GW electrolyser. Based on MNRE Green Hydrogen Standard additionality requirements. ~4.5 TWh/year at blended ~25% capacity factor. Caveats: RE coefficients are the highest-confidence numbers in this dataset (IRENA/CEEW India-specific, multi-year data). This archetype covers the LARGEST construction-phase headcount driver. Does not include battery storage or grid interconnection workforce."
